lon,lat,vs30,z1pt0,z2pt5
169.3082534,-45.231053399999986,906.94165,0.045,0.275
172.35544,-43.42137999999999,239.52567,0.845,1.725
170.8286999,-44.09865702999999,290.8747,0.515,0.525
170.01980280000004,-43.463208140000006,441.33307,0.065,0.275
170.1842354,-43.389136709999995,569.2273,0.065,0.275
169.8154798,-43.53209931,887.0987,0.065,0.325
172.088753,-43.58618299999999,239.72366,0.625,1.675
172.5110494,-42.59417315000001,314.3834,0.745,0.775
171.2103534,-42.4491761,288.21875,0.085,1.475
172.76926,-43.5784,999.41046,0.005,1.725
168.9416931,-46.102667059999995,309.74628,0.195,0.675
172.635725,-43.632421,566.6138,0.015,1.225
173.03475,-42.967365,693.1401,0.055,2.225
170.5560614,-43.14891166,335.09164,0.155,0.325
172.569503,-43.590880469999995,207.92435,0.095,1.375
173.78467,-41.27227,919.70135,0.055,0.275
169.0441479,-43.88300614,243.21877,0.075,0.325
172.5928,-43.557500000000005,207.00554,0.285,1.725
170.96395890000002,-42.71692199999999,413.0175,0.355,2.225
171.9599076,-43.53963553,239.99693,1.065,2.075
172.7021942,-43.50157547,207.92435,0.645,2.225
172.8304938,-42.52324224000001,242.20586,0.375,0.375
172.65723,-43.57936999999999,906.94165,0.075,1.625
172.709423,-43.579787,446.25012,0.005,1.525
168.3469231,-46.411594220000005,551.4807,0.615,0.825
171.4728354,-42.726743649999996,283.5639,0.065,0.275
171.9525458,-41.85712387,312.85147,0.075,0.325
171.4441,-42.7245,859.4415,0.055,0.275
168.611772,-43.97233699999999,759.0109,0.065,1.225
168.7854734,-44.07321036000001,999.41046,0.045,0.325
172.1164507,-41.24942014,246.00035,0.155,2.425
173.98141,-41.95568999999999,775.98914,0.065,3.575
172.61189,-40.55703999999999,775.98914,0.065,1.825
173.53897,-42.415980000000005,447.04074,0.075,0.525
173.6821252,-42.425812009999994,228.32062,0.125,4.325
172.64058,-43.526869999999995,368.5584,0.605,2.425
172.8749583,-41.67309194999999,242.22755,0.635,1.175
171.1356402,-42.89168682,240.14139,0.065,0.275
171.85485000000003,-43.32146,342.30707,0.065,1.525
172.6637676,-43.3764632,207.00554,1.345,3.275
170.1844199,-44.385552839999995,759.0109,0.065,0.325
172.729678,-43.608577999999994,500.0,0.065,1.325
172.4680038,-43.62317903999999,207.00554,0.345,1.825
172.724778,-43.60785,500.0,0.055,1.275
169.4230937,-43.714652879999996,500.0,0.065,0.325
172.714823,-43.608377999999995,500.0,0.035,1.225
171.7936344,-43.729389999999995,240.41202,1.125,2.525
172.5432885,-42.86952006,626.6557,0.065,0.425
172.2710354,-42.78166716,619.7467,0.055,0.275
167.278065,-45.521224999999994,500.0,0.055,0.725
171.4217091,-43.82306142999999,240.16339,0.645,1.575
172.3280308,-41.79993351,240.30853,0.215,0.375
170.09720000000002,-43.73645,436.46747,0.055,0.275
170.0952023,-43.73316534,436.46747,0.065,0.275
169.23293830000003,-44.23044589,441.33307,0.065,0.275
172.71149,-43.558490000000006,500.0,0.115,1.775
173.9443926,-41.50768077,413.0175,0.615,1.125
168.1184068,-45.366543529999994,887.0987,0.065,1.075
172.973808,-43.637364,500.0,0.115,1.575
173.2574013,-42.08802277000001,534.5466,0.065,0.375
172.6214,-43.5395,207.92435,0.475,2.125
168.23783650000001,-45.667802399999985,309.74628,0.075,0.675
173.0095025,-41.12468961,238.42978,0.165,0.525
172.642253,-43.499375,207.92435,0.695,2.875
172.6537658,-43.70608168,887.0987,0.045,0.925
172.5592161,-43.511306899999994,207.00554,0.545,2.425
171.40226950000002,-43.70458828999999,284.17017,0.245,0.975
